Title,Clean_JobDescripton
Sales Manager,SAS Group is seeking a Fashion Product Developer forfashion trends research analysis and developing and sourcing fashionproducts
Sales Manager,Polpharma is looking for an enthusiasticselfmotivated personality who will combine excellent interpersonal andorganizational skills and have the ability to adapt to an internationalenvironment
Project Manager,The incumbent will be responsible for IN VAS andMessaging products platforms and services
Sales Manager,The incumbent will build trustful relations withcustomers by providing them assistance and support as well as meet orexceed assigned sales targets by appropriately representing companysservices
Project Manager,The incumbent will be responsible for the management offull logistic chain of operations
Sales Manager,The responsibilities of a Marketing Manager include butare not restricted to the following develop establish and maintainmarketing strategies to meet organizational objectives The incumbentwill be responsible for the effective management of the marketingadvertising and promotional activities of the organization
Sales Manager,The incumbent will be responsible for the developmentand performance of all sales activities in the assigned market He shewill staff and direct a sales team and provide leadership towards theachievement of maximum profitability and growth in line with companyvision and values The Sales Manager will establish plans and strategiesto expand the customer base in the marketing area
Sales Manager,EV Consulting CJSC is seeking a person who may become agatekeeper of the office who earns thousands of thank you from theteammates each day due to his her responsiveness diligence and spiritof service in helping to sort out numerous administrative research andcommunication issues
Sales Manager,The electrician is in charge of exploitationmaintenance repair and installation of electrical equipment in mobilebase stations BS headquarters HQ and other premises in accordancewith the approved internal and external normative documents
Java Developer,Damaris AM is looking for a qualified IT Technician tosupport Damaris IT Infrastructure
Sales Manager,Orange Armenia is looking for a dynamic andselfmotivated individual with experience and skills in web shopmanagement creating promotional roadmaps for increasing online sales andenlarging the auditorium of visitors by implementing various onlineactivities through social media
Project Manager,Dorozhnik LLC is looking for an experienced andmotivated person to cover the position of Import Export Manager
Sales Manager,VoIPShop Telecommunications Inc is seeking a motivatedand success driven person to work as International Sales Manager
Sales Manager,HayPost CJSC is looking for an intelligent andhardworking person to join companys team for the position ofTerritorial Direction Customer Service and Sales Manager ensuring thebest in class service to companys customers
Sales Manager,The incumbent will provide a comprehensive andprofessional finance management service to the Biska Group LLC includingdaytoday accounting reporting and general supervision of the financerelated matters
Sales Manager,VTB Bank Armenia CJSC is looking for a skilled andmotivated manager to fill in the position of Head of CorporateCollections Division for working with Large and Medium Businessesensuring high standards of operational efficiency
Sales Manager,Natali Pharm is looking for an enthusiastic andselfmotivated person who will combine excellent interpersonal andorganizational skills for the position of Product Specialist for B BraunMedical products
Sales Manager,As a Personal Assistant reporting to an assigned topmanagement team member this is a very varied role for the rightcandidate which requires an independent personable Personal Assistantto hit the ground running The incumbent will be dealing with variouscounterparties from different countries so Russian and English languageskills would be important
Sales Manager,The Mall General Manager will be responsible foroverseeing all aspects of mall management including but not limited toleasing and tenant relations business planning and financial managementfacilities and operational management and control of all maintenanceinspection and safety functions
Project Manager,The primary focus of this role is to lead develop anddirect all aspects of World Visions WV work in Armenia as part of thebroader South Caucasus SubRegional program The role includes ensuringWV Armenia programs directly contribute to the sustainable wellbeing ofchildren and fulfilment of their rights within families and communitiesThe incumbent will represent WV Armenia to all donors project partnersother WV Partnership offices and divisions including local governmentchurch representatives and nongovernmental organizations servingaccording to given Power of Attorney He she will model a high standardof personal Christian leadership provide leadership to WV Armenia staffpromoting fairness and transparency in decision making ensure alignmentwith Microfinance MFI through participation in MFI Board and otherGovernance structures and provide appropriate collegial support to MFIExecutive Director
Project Manager,The National Advisor in External Audit will manage theareas of responsibility in close cooperation with other experts of theprogramme including experts in the regional programme structure inTbilisi As an Expert on External Audit the incumbent will beresponsible for advising on the specified areas of responsibility andimplementation of allotted programme activities for securing goodcommunications with key stakeholder institutions and innovation knowledgemanagement within Armenia and the South Caucasus region
Project Manager,At Netsoft USA the Ruby Software Engineer will be partof a project team and help build applications from the ground up Theincumbent will work for a company where software development is thebusiness rather than where its merely considered a necessary expensethat supports the business
Sales Manager,DTC IIBSYerevan Medical Center is seeking proactiveand result oriented individuals to work as a Manager MedicalRepresentative
Java Developer,MLL Industries LLC is looking for a Field Engineer forits HILTI Division
Sales Manager,The incumbent will provide support to implementation ofmultisectoral activities of the Area Development Program ADP in targetcommunities and undertake sectorialprofessional responsibility foreffective and proper implementation of Detailed Implementation Plan DIPactivities assigned to him her The Transformational DevelopmentFacilitator TDF will work with community members on daily basis forimplementation of activities capacity building in monitoring andidentifying partners networking with other stakeholders and making surecommunities are willing to lead their own development processes
Sales Manager,As an ASPNET MVC developer the incumbent will helpbuild the companys nextgeneration web services where millions of usersconnect on a daily basis to learn contribute and interact The companyutilizes NET MVC  AJAX development environment The holder of theposition will work in the areas of collecting specificationsprototyping application development and production support
Java Developer,The Head of Mechanics will perform duties under thegeneral direction of the Engineering Manager He she will performmaintenance repair and or modification of the plants mechanicalsystems The incumbent will be involved in fabrication applicationinstallation and repair of mechanical and electromechanical equipment
Project Manager,Chief reporting specialist is responsible for thepreparation of reports for internal and external significancearrangement and management of accounting and reporting processes Theincumbent will carry out his her duties in the Reporting division of theAccounting department
Sales Manager,Philip Morris Armenia LLC is looking for an Accountantto perform accounting reporting budgeting treasury and administrativeactivities in order to support the companys daytoday activities andits business development and to ensure compliance with local accountingand tax regulations as well as PM Principles and Practices
Project Manager,The Collector will be responsible for constanteveryday communication and meetings with persons having overdue loanliabilities as well as with those interrelated with the latter byimplementing various measures aiming to repay the liabilities
Sales Manager,The Armenian Water and Sewerage CJSC is recruiting aLegal Consultant Lawyer with relevant education experience andqualifications to work under the Project financed by the AsianDevelopment Bank ADB
Project Manager,The Call Center Manager will be responsible formanaging the development implementation enhancement and support of callcenter systems technologies and strategies He she will oversee thedaily operations of all Call Center Unit functions ensure activities runsmoothly and efficiently promote the image of the bank in a professionaland positive manner provide supervision guidance coachingrecognition motivation and training to the department personnelparticipate in marketing campaigns and product launches attain salesquality control and customer service goals The incumbent will alsoperform direct supervisory duties of the department staff and coordinatethe staff for coverage in all related areas
Project Manager,The USAID Finance for Economic Development ProgramFED implemented by Cardno Emerging Markets USA is searching for aFinancial Sector Development Analyst who will work within the Program toachieve the goals and objectives assigned to FED under its Component 3which in particular involves the financial sector framework for thepension reform and assist the Programs other activities assigned by theFED Programs Chief of Party COP and or Deputy Chief of Party DCOPas needed The Financial Sector Development Analyst will be responsiblefor providing assistance in the following fields formation of regulatorypolicies that comply with international standards of pension fundsregulation and investment policies for pension contributions to fosterlocal investment ensuring governance and transparency of the pensionfund operators based on international standards and the best practiceand also the supply of debt and equity finance instruments available forinvesting pension contributions
Sales Manager,The Salesperson Cashier will be responsible forhelping to increase the stores sales by providing customers with all ofthe information and attention they need He she must also handleinventory prepare purchases for transportation by wrapping or baggingthem and set up displays and stock clothing racks or shelves cash andPOS transactions perform other duties as assigned
Sales Manager,Candle SRI is looking for a qualified candidate for theposition of Administrative Assistant
Project Manager,Domino Production LLC is looking for a highlymotivated and experienced professional to develop implement and managethe companys sales strategy direct the movement of products sndservices to clients analyze sales statistics gathered by the staff todetermine sales potential and inventory requirements and monitor thepreferences of clients
Sales Manager,AN Audit CJSC is looking for successful candidates forthe position of Senior Auditor
Sales Manager,RosgosstrakhArmenia ICJSC is looking for a highlyqualified Senior Software Developer with experience in objectorientedprogramming and development of client server applications
Sales Manager,The Equipment Manager Controller will assist the Headof Supporting Facilities in the equipment management activities such asmanaging cost and revenue on equipment for all profit centers
Sales Manager,The Sales Manager will be responsible for promoting andselling the companys products on retail marketplaces
Sales Manager,The Employment and Economic Sustainability ProjectCoordinator will coordinate the activities of Employment and EconomicSustainability project to be carried out in Yerevan among the mostvulnerable social groups giving priority to the beneficiaries of FamilyStrengthening Projects of SOS Childrens Villages Armenia implemented inKanakerZeytun and Arabkir administrative districts of Yerevan
Sales Manager,Jaguar LLC is seeking a qualified Content Manager to beresponsible for content preparation and dissemination
Java Developer,The incumbent will promote the medical products of theinternational partners of Victoria Consulting LLC in Yerevan and theregions of Armenia
Project Manager,As a FrontEnd Developer the main responsibility ofthe incumbent will be the production modification and maintenance of thewebsite and web applications user interfaces This involves workingclosely with designers and serverside developers to implement theirserverside code in order to develop complex interactive anddatabasedriven websites
Sales Manager,SI Holding CJSC is seeking a skilled and motivatedprofessional to work as a Financial Analyst
Project Manager,Under the direct supervision of the company Presidentand in association with the contracted accounting company the selectedcandidate will perform routine accounting as well as some administrativeduties
Sales Manager,VTB Bank Armenia CJSC is looking for a motivatedskilled and professional candidate to fill in the vacancy of Head ofFinancial Division of the Financial Department
Java Developer,The Production Support Engineer will work for theOperations and Support Service which is providing highquality technicalassistance for the realtime payment authorization applications Itmanages incidents and problems reporting through a central queue oftickets The main goal of the Service is to guarantee the availabilitythe robustness and efficiency of the application in the productionenvironment The division helps to define the specific maintenance neededto be included in projects in order to keep the companys system powerfuland upgraded
Sales Manager,VTB Bank Armenia CJSC is looking for an activeselfmotivated professional to fill in the position of Leading CreditAnalyst for the Transaction Structuring Division of the Corporate BankingDepartment
Java Developer,The Tumo Center for Creative Technologies is lookingfor an experienced and dynamic specialist to lead workshops and developeducational activities in web design and development The Web Design andDevelopment Workshop Leader and Educational Content Developer will reportto the Curriculum Director
Project Manager,Sixt rent a car Fora LLC is seeking a RentalAgent
Sales Manager,The Equipment Manager Controller will assist the Headof Supporting Facilities in the equipment management activities such asmanaging cost and revenue on equipment for all profit centers
Project Manager,Domino Production LLC is looking for a highlymotivated and experienced professional to develop implement and managethe companys sales strategy direct the movement of a product or serviceto the clients The incumbent should analyze sales statistics gathered bythe staff to determine sales potential and inventory requirements andmonitor the preferences of clients
Project Manager,IUNetworks LLC is looking for a motivated individualwith a proven track record in office administration He She may haveexperience from a different field or technology but must have a provenability to work under pressure and set up priorities
Sales Manager,ABC Domain LLC is seeking for a qualified SystemsAdministrator
Sales Manager,The Software Development Team Leader will overseeprojects and supervise the daytoday operations of his her team makingsure everyone is pulling their weight distributing the workload evenlyand making sure motivation and performance levels are maintained Theincumbent will occasionally carry out administrative tasks and reportwriting duties as well as guide the teams vision and ensure thateverything goes according to plan
Project Manager,The Treasurer will be in charge of managing thedaytoday banking relationships and other responsibilities representedbelow
Java Developer,The Billing Analysts role is to research plan andrecommend solutions to meet the companys accounting reportsrequirements He she will be also responsible for feasibility studies ofrequirements before making recommendations to the management
Sales Manager,The C Engineer will participate in the development ofa multiplatform Client application
Project Manager,Spayka LLC is looking for a suitable candidate forthe position of the Chief Accountant in the Financial Department of thecompany
Project Manager,SEF International is seeking an AS Accounting SystemsAdministrator
Sales Manager,AtTask is seeking a QA Automation Engineer to ensurethe quality and increase the code coverage of its project managementapplication by analyzing automating regression content by maintainingand improving existing scripts
Project Manager,Under the supervision of the Project Management Unitand the State Migration Service the Counsellor for Returning Migrantswill be in charge of setting up a reintegration referral centre forreturning migrants at the State Migration Service The incumbent willprovide individual counselling to returning migrants aimed at theirsocial and economic reintegration in Armenia He she will informpotential returning migrants on existing support programmes in Armeniaregister assess needs and skills and refer returning migrants to theseexisting support programmes including the projects reintegration schemeThe Counsellor will contribute to the overall project reportingrequirements and obligations prepare project related documents andreports participate in meetings and contribute to workshops and expertmissions He she will also develop the communication strategy plan andpromote the Referral Centre for Reintegration
Java Developer,Kime LLC is looking for a Sales Specialist in theMarketing Department
Java Developer,The Electronics PLC Engineer will perform duties underthe general direction of the Electrical Supervisor The incumbent willwork independently to perform maintenance repair and or modificationof the plants computer driven controls systems and the plants mechanicaland electrical systems He she will be involved in fabricationapplication installation and repair of electrical and electromechanicalequipment the installation of electrical conduit and machine buildingwiring
Project Manager,EPAM Systems Inc is seeking for Java Developers tojoin the companys team in developing enterpriselevel softwaresolutions The company is looking for energetic people who are ready fornew challenges teamwork and agile software development
Java Developer,Media Initiatives Center former Internews MediaSupport NGO seeks a qualified candidate to provide essential oversightand management of project operations Under the overall supervision ofthe Managing Director the incumbent will plan coordinate and evaluateprojects according to strict deadlines and within budget He she will beresponsible for the daytoday management and coordination of the projectcomponents including acquisition of resources and coordination ofefforts of partners team members thirdparty contractors or consultantsin order to deliver projects according to the plan
Sales Manager,The incumbent should maintain accounting records incompliance with the international standards
Project Manager,He she will be responsible for customers presalesand postsales technical consultancy in Gyumri shop of Orange
Project Manager,Ogma Applications CJSC is looking for severalqualified serious hardworking team players for the position of forTechnical WriterThe duties of the position include researching developing and writingdetailed procedures for technical documentation such as maintenance andoperator manuals installation guides supplements and referencematerials and various other technical documentation The incumbentshould verify documentation with related departments and coordinate theproduction publication and distribution of printed electronic andonline materials
Sales Manager,We are seeking several candidates for the EmbeddedLinux BSP Engineer position to join our partner companys Board SupportPackage BSP development  board bringup team This team is responsiblefor performing initial board bringup on new hardware porting boardsupport packages from reference designs and developing custom devicedrivers
Project Manager,The incumbent under the direct supervision of theCredit Manager will support the development and effective management ofcredit portfolio participate in formulation and upgrading of the lendingstrategies and approaches promote credit and related services of thecompany take appropriate action to reduce the risk of potential lossesthrough Non Performing Loans NPLs as well as provide leadershiptraining and support to less experienced loan officers and other staffmembers
Project Manager,Communities Finance Officers Association NGO islooking for an Expert on Decentralization and Local Governance who willbe responsible for implementation of legal and policy analysis in thefield of Decentralization and Local Governance He she will developdraft laws legal recommendations and reports on decentralization andLocal Governance policies
Java Developer,The work of the Component Leader with option toproceed to Project Coordinator after 15 years relates to theimplementation of the project ENPARD Technical Assistance ProducerGroup and Value Chain Development that UNIDO developed for funding bythe EU under the European Neighbourhood Programme for Agriculture andRural Development ENPARD and the associated top up funding from theAustrian Development Agency ADA The position will be based in Yerevanwith frequent every 23 weeks trips to target marzes of Armeniaincluding Shirak Tavush LoriThe project focuses within tobedetermined regions of the country on astrengthening and newly establishing producer groups b engagingproducer groups effectively in value addition and c strengthening valuechains that provide improved access to affordable better quality foodBeneficiaries of the project will be producers producer group membersand employees and their families for which job creation and increasedincome effects are envisaged
Project Manager,The Software Engineer in Vanadzor will work on small tolarge scale Computer Vision and Image Processing software with desktopand mobile clients He she should participate in all stages of softwaredevelopment life cycle from requirements gathering to implementation andtesting He she will be collaborating with management on definingsoftware architecture estimating technical challenges developmenttimeline and risks
Sales Manager,VOLO LLC is looking for an experienced resultorientedprofessional to fulfill the position of QA Engineer in anenterprisefocused team The incumbent will be working for aninternational clients using full SDLC principles
Project Manager,Community Mobilization Officer CMO will work withinCombating GenderBiased Sex Selection CGBSS in Armenia Project targetedat contribution to positive change in public perception and attitudetowards genderbiased sex selection through awareness raising campaignThe CMO will be responsible for planning implementation and monitoringof communitybased capacity building and awarenessraising activitiesCMO will work closely with partner organizations regional and localstakeholders to ensure productive collaboration and successfulimplementation of project The position requires intensive travelthroughout the country sometimes with overnight stay
Project Manager,The incumbent will be responsible for daily managementof interconnections wholesale and retail processes of the company
Project Manager,National Grape Genetic Resources ConservationSpecialist will work for TCPARM3503 Grape Genetic ResourcesConservation and Sustainable use in Armenia project
Java Developer,A last year student or a year ago graduated studentsare welcomed to participate in Graduate Trainee Program During thisprogram he she will be involved in projects and get a professionalexperience with future career growth opportunities at Coca Cola HBC Theprogram is paid
Project Manager,BetArchitect LLC is currently seeking a committedindividual to fill the vacancy of Web and Graphic Designer
Project Manager,He she will be responsible for coordination of digitalprojects
Java Developer,The PicsArt Backend Performance Engineering Team isseeking an outstanding engineer to help its team to take the performanceto the next level This work is critical to ensure PicsArt can sustainthe growth the company has seen in its transaction and data volumesSenior Performance Engineer will be a part of a the engineering team
Project Manager,The incumbent will develop software systems accordingto clients requirements and continue debugging enhancing andmaintaining developed systems Primary responsibilities include dataanalyzing skills in combination with developing and debugging databasedriven web based enterprise level software using C programming languageand SQL
Project Manager,Gritti LLC is inviting qualified professionals tofill the position of Digital Marketing and PR Specialist DigitalMarketing and PR Specialist should develop and implement companys shortand long term marketing and PR plans to promote the product and servicesof the company as well as manage all the issues of digital marketing
Java Developer,Webb Fontaine LLC is seeking a QA Engineer SoftwareTester to join the team in developing enterprise level softwaresolutions The company is looking for an energetic person who is readyfor new challenges and has a good understanding of Software QualityAssurance
Java Developer,CertiPro Solutions LLC is looking for a Senior PHPDeveloper Magento development knowledge is a huge plus
Sales Manager,Ernst  Young CJSC is seeking responsible andhardworking people for the internship program at the Audit Department ofthe EY office in Yerevan
Project Manager,World Vision Armenia is seeking a Development Managerwho will provide leadership and oversight for the implementation of theTechnical Programs and ensure that proper partnerships with the localgovernment and civil society actors are in place in the targeted marzzone
Sales Manager,The Tumo Center for Creative Technologies is lookingfor an experienced and energetic specialist who will lead workshops andwill be responsible for creating activities in the area of gamedevelopment
Sales Manager,The Chief Accountant will maintain and control Clientscurrent accounting and tax services
Project Manager,RO KRKA in Armenia is looking for an enthusiastic andselfmotivated person who will combine excellent interpersonal andorganizational skills and have the ability to adapt to an internationalenvironment
Java Developer,Workfront needs a NOC Technician to be a part of theTier 1 NOC team and responsible for helping to keep OnDemand up andrunning including escalations from support rolling code buildingdashboards and handling Nagios alerts
Java Developer,For implementing Activity 11 of Supporting the HostCountrys Transition to Sustainable Market Economy and Securing EconomicStability project the SME Sector Expert in collaboration with theExperts in Macroeconomics and Economics Statistics is required toconduct an analysis of the macroeconomic situation and the SME sector inArmenia develop a comprehensive statistical analysis of the SME sectorin Armenia prepare a qualitative review on main obstacles andexpectations of the SME sector and develop public policy practicalrecommendations for the SME sector development based on outcomes of thestatistical analysis crosscountry comparison and best internationalpractices The Economic and Environmental Unit of the OSCE Office in Yerevan dealswith economic and environmental issues operating under the premise thatpromoting economic prosperity and cooperation on environmental problemscan contribute to the security and stability of the Republic of ArmeniaIn this regard the Economic and Environmental Unit of the OSCE Office inYerevan invites applications from highly qualified and experiencedArmenian professionals for the temporary position of Small and MediumEnterprise Sector ExpertThe Expert will assist the OSCE Office in Yerevan by carrying outanalysis and reviews of the current macroeconomic situation and share ofSME sector in the Armenian economy in collaboration with the Expert inMacroeconomics and Economics Statistics Expert prepare a qualitativereview on main obstacles and expectations of the SME sector and developpublic policy practical recommendations for the SME sector development
Project Manager,The Smithsonian Institution is recruiting a ProjectSpecialist for a new 4year Cultural Heritage Tourism Activity developedin partnership and funded by USAID Armenia This program will support thedevelopment of the cultural tourism sector in Armenia The position willbe filled by an Armenian national and will be based in Yerevan Armenia
Java Developer,BigBek is looking for a passionate Senior FrontEndDeveloper to build web applications where UI UX is a core value and itis at the forefront of development
Java Developer,The candidate will be encouraged to imbue creativenessin each common task and assignment The Company highly appreciates itsconsultants efforts to deliver high quality content providing tailoredsolutions to complex problems while meeting extremely tight deadlines
Project Manager,Energize Global Services CJSC is looking for JavaDevelopers mid and senior level for an international project onePayment bank payment systems
Java Developer,The Customer Service and Retention Unit Manager leadsplans organizes and gives a strategic direction to the unit activitiesand projects to achieve high level of customer satisfaction andcontribute to the increase of sales volumes The position holder assumesthe responsibility for implementing and controlling the procedures withrespect to the product material and monetary values of the unit inaccordance with the acting procedures of the Company
Sales Manager,Neotrans LLC is looking for a motivated selfdrivencandidate for the position of Transport Logistics Specialist
Project Manager,Technical Support Center Engineers will be responsiblefor the users computer hardware supplementary devices informationsystems and software proper functioning They will research plandesign develop modify evaluate and integrate information andtelecommunications technical means and the related equipment
Java Developer,DeepRedMedia Solutions is looking for an experiencedWordPress developer who will be responsible for developing new WordPresswebsites and maintaining the existing ones by working with differentthemes building custom themes from PSD mockups and working with variousWordPress plugins and extensions
Sales Manager,IUNetworks LLC is looking for a motivated Senior JavaDeveloper for webbased enterprise level applications development
Java Developer,Joomag AM LLC is seeking a highly motivated CustomerService Representative who will become a part of the companys teamprovide product services information and resolve any emerging problemsthat the companys clients might face with accuracy and efficiencyThe target is to ensure excellent service standards and maintain highcustomer satisfaction
Project Manager,The Senior Android Developer is expected to be askilled developer with experience in coding in Java and Android SDK As aSenior Android Developer the candidate will play a key role in thedesign and implementation for new applications and features on Androiddevices that will disrupt the market and advance technology foranalytics mobility and security
Project Manager,Energize Global Services CJSC is looking for a JavaSoftware Developer for an international project on ePayment bank paymentsolutions
Project Manager,The incumbent will be responsible for theimplementation of various works and projects aimed at improving customerservice quality including a Mystery shopping projectsb Elaboration of customer service standardsc Elaboration of client segmentation principlesd Satisfaction survey development and coordination workse Client database administration and preparation of analytical materialsbased on the available data
Java Developer,PicsArt is looking for a creative Junior Mobile VisualUI UX Designer
